price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
7999,limousine,2007,manuell,177,1er,150000,8,diesel,bmw,0
2100,kombi,1998,automatik,193,5er,150000,2,benzin,bmw,0
7750,,2017,manuell,80,golf,100000,1,benzin,volkswagen,
13500,bus,2012,automatik,109,b_klasse,150000,7,diesel,mercedes_benz,0
14800,cabrio,2008,manuell,170,1er,125000,4,benzin,bmw,
2000,,2017,manuell,90,punto,150000,11,diesel,fiat,1
1400,,2016,manuell,55,andere,5000,1,,hyundai,
7999,limousine,2008,automatik,143,3er,150000,12,diesel,bmw,
4700,kombi,2005,manuell,0,signum,150000,0,,opel,0
550,kombi,1999,manuell,0,astra,150000,8,diesel,opel,1
39600,coupe,2014,automatik,306,andere,30000,7,benzin,bmw,0
3000,cabrio,2006,automatik,61,fortwo,80000,1,benzin,smart,0
2399,,2018,manuell,64,andere,125000,3,,seat,0
1000,limousine,1998,manuell,101,golf,150000,10,benzin,volkswagen,0
1,suv,1994,manuell,286,,150000,11,,sonstige_autos,
200,coupe,1995,manuell,102,3er,150000,4,benzin,bmw,
7499,limousine,2004,automatik,232,a8,150000,3,diesel,audi,1
5500,kleinwagen,2010,manuell,60,fabia,70000,4,benzin,skoda,0
7000,limousine,2006,automatik,105,jetta,100000,10,diesel,volkswagen,0
14999,cabrio,2007,manuell,218,3er,50000,8,benzin,bmw,0
10900,,2017,manuell,101,astra,50000,3,,opel,0
9700,coupe,2008,manuell,160,scirocco,150000,8,benzin,volkswagen,0
2100,suv,2000,manuell,105,andere,150000,8,benzin,honda,0
1280,limousine,1992,automatik,109,andere,150000,9,benzin,mercedes_benz,
1200,coupe,2001,,0,astra,150000,0,,opel,
800,kleinwagen,1993,manuell,0,polo,150000,3,benzin,volkswagen,0
2300,,1997,manuell,150,5er,150000,3,,bmw,0
750,kleinwagen,2002,manuell,50,fiesta,150000,4,benzin,ford,0
7999,kombi,2008,manuell,156,c_klasse,150000,10,benzin,mercedes_benz,0
6600,limousine,2006,manuell,105,golf,150000,10,diesel,volkswagen,0
7999,kleinwagen,2013,manuell,80,micra,40000,4,benzin,nissan,0
1400,andere,2003,manuell,82,vito,150000,8,diesel,mercedes_benz,0
800,,2000,manuell,90,golf,150000,2,diesel,volkswagen,
5000,bus,2006,manuell,109,sprinter,150000,4,diesel,mercedes_benz,0
20300,limousine,2010,automatik,204,e_klasse,80000,12,diesel,mercedes_benz,0
150,,2016,manuell,75,astra,150000,3,benzin,opel,1
250,kombi,2000,manuell,155,156,150000,0,benzin,alfa_romeo,1
350,kleinwagen,1997,manuell,54,,150000,3,,fiat,1
600,limousine,1994,manuell,75,escort,100000,6,benzin,ford,1
3300,kombi,2005,manuell,150,c_klasse,150000,9,diesel,mercedes_benz,1
1600,kombi,1997,automatik,122,forester,150000,10,benzin,subaru,0
8000,suv,2005,manuell,185,xc_reihe,150000,8,diesel,volvo,
1800,bus,2001,manuell,87,andere,150000,7,diesel,mitsubishi,0
6800,kleinwagen,2009,manuell,82,fiesta,60000,12,benzin,ford,0
2990,bus,2004,manuell,113,scenic,150000,12,benzin,renault,0
1,limousine,1995,manuell,113,e_klasse,150000,4,diesel,mercedes_benz,0
2400,limousine,2003,manuell,0,a4,150000,9,diesel,audi,
1222,limousine,1984,automatik,180,andere,150000,3,benzin,opel,
250,,2000,,60,ka,150000,0,,ford,
14500,kleinwagen,2013,manuell,86,a1,60000,4,benzin,audi,0
8390,,2009,,0,insignia,150000,0,,opel,
3850,limousine,2003,manuell,131,passat,150000,5,diesel,volkswagen,0
23490,limousine,2013,automatik,143,3er,40000,6,diesel,bmw,0
6450,bus,2008,manuell,84,transporter,150000,12,,volkswagen,0
1700,kleinwagen,1999,automatik,102,a_klasse,125000,11,benzin,mercedes_benz,0
4290,bus,2008,manuell,0,combo,150000,2,diesel,opel,0
1500,kombi,2006,manuell,109,focus,150000,10,diesel,ford,0
499,limousine,1995,manuell,101,a4,150000,5,benzin,audi,
22999,coupe,2012,automatik,303,andere,50000,4,benzin,hyundai,0
6500,limousine,2004,manuell,163,a4,150000,4,diesel,audi,
900,kombi,1999,manuell,125,c_klasse,150000,7,diesel,mercedes_benz,0
650,limousine,1997,automatik,102,3er,150000,8,benzin,bmw,
300,cabrio,1992,manuell,105,escort,150000,0,,ford,1
3399,coupe,1999,manuell,224,tt,150000,9,benzin,audi,1
1300,kombi,1997,manuell,101,passat,150000,10,benzin,volkswagen,0
900,,1995,manuell,90,civic,150000,3,benzin,honda,
7300,limousine,2009,automatik,235,5er,100000,3,diesel,bmw,0
8599,cabrio,2006,manuell,200,astra,125000,9,benzin,opel,0
350,kleinwagen,1998,,0,corsa,150000,2,benzin,opel,
0,,2017,manuell,0,golf,5000,12,benzin,volkswagen,
5900,kombi,2005,automatik,178,a6,150000,1,diesel,audi,0
6300,limousine,2002,manuell,265,golf,150000,3,benzin,volkswagen,0
3500,coupe,1991,manuell,160,andere,150000,5,benzin,volkswagen,0
0,kleinwagen,1999,,0,,5000,0,benzin,volkswagen,
5950,limousine,2006,manuell,163,3er,150000,1,diesel,bmw,1
1699,kleinwagen,2003,manuell,77,1zz,150000,8,benzin,honda,0
4699,bus,1996,manuell,110,transporter,150000,8,benzin,volkswagen,0
400,limousine,2000,manuell,144,omega,150000,10,,opel,1
9290,kleinwagen,2010,manuell,86,polo,40000,5,benzin,volkswagen,0
7000,limousine,2003,manuell,120,slk,150000,5,benzin,mercedes_benz,0
1199,kleinwagen,2000,manuell,60,twingo,150000,5,benzin,renault,0
1750,limousine,2002,manuell,75,focus,125000,1,benzin,ford,0
1000,limousine,1990,manuell,54,golf,150000,2,benzin,volkswagen,0
1800,limousine,1995,automatik,286,7er,150000,12,benzin,bmw,1
8000,,2009,manuell,0,golf,100000,10,benzin,volkswagen,0
1100,bus,2003,manuell,75,combo,150000,3,diesel,opel,0
2990,kombi,2001,automatik,170,e_klasse,150000,1,diesel,mercedes_benz,0
300,kleinwagen,2000,manuell,54,corsa,150000,0,benzin,opel,
3390,,2000,,0,3er,150000,2,,bmw,
2750,kombi,2001,manuell,131,passat,150000,12,diesel,volkswagen,0
6990,kombi,2012,manuell,75,fabia,100000,5,diesel,skoda,0
4800,cabrio,1996,manuell,116,80,150000,6,benzin,audi,0
14499,limousine,2007,automatik,170,c_klasse,125000,5,diesel,mercedes_benz,0
1450,limousine,1992,manuell,136,,150000,0,,audi,0
4300,limousine,2005,manuell,90,golf,150000,11,diesel,volkswagen,
2499,limousine,2003,manuell,110,civic,150000,12,benzin,honda,
3450,limousine,2007,manuell,120,147,150000,4,diesel,alfa_romeo,0
350,limousine,1996,manuell,122,c_klasse,150000,9,benzin,mercedes_benz,
3550,kombi,2000,automatik,184,5er,150000,11,diesel,bmw,0
8250,bus,2010,manuell,109,c_max,125000,10,diesel,ford,0
800,kleinwagen,1998,manuell,54,clio,150000,11,benzin,renault,0
1500,kombi,1996,manuell,126,a4,150000,0,,audi,0
41900,suv,2014,automatik,204,glk,40000,9,diesel,mercedes_benz,0
4200,kombi,2003,automatik,204,3er,150000,1,diesel,bmw,0
150,,1985,,0,100,150000,4,benzin,audi,
1000,kleinwagen,1996,manuell,75,golf,150000,3,benzin,volkswagen,0
300,,2005,manuell,0,punto,40000,9,,fiat,1
800,limousine,2004,manuell,88,3_reihe,150000,9,benzin,peugeot,1
2300,limousine,2000,manuell,160,c_klasse,150000,5,benzin,mercedes_benz,0
4000,kombi,2003,automatik,163,a6,150000,6,diesel,audi,0
6799,kleinwagen,2009,,60,,20000,5,benzin,volkswagen,0
0,bus,2004,manuell,101,meriva,150000,10,lpg,opel,1
9450,cabrio,2004,manuell,170,z_reihe,150000,12,benzin,bmw,0
0,,2006,,0,andere,5000,0,,fiat,
14500,,2017,manuell,136,sportage,125000,5,diesel,kia,0
6890,limousine,2003,manuell,170,c_klasse,125000,2,diesel,mercedes_benz,0
7500,suv,2007,automatik,194,sorento,5000,11,benzin,kia,
800,limousine,1993,manuell,0,golf,10000,9,benzin,volkswagen,1
1499,kleinwagen,2002,manuell,140,a_klasse,150000,10,,mercedes_benz,0
500,kleinwagen,1999,manuell,0,,150000,0,benzin,renault,0
1495,kombi,2001,,64,,150000,9,diesel,volkswagen,
300,kleinwagen,1994,manuell,0,andere,150000,7,benzin,mitsubishi,
1200,,2018,manuell,75,astra,150000,0,,opel,0
850,limousine,1989,manuell,69,golf,125000,11,benzin,volkswagen,0
8500,bus,2007,manuell,131,transporter,150000,12,diesel,volkswagen,0
300,kombi,1998,manuell,0,v40,150000,6,benzin,volvo,0
1500,limousine,2000,manuell,75,civic,125000,11,benzin,honda,0
950,limousine,1995,manuell,115,5er,150000,0,benzin,bmw,
3200,kleinwagen,2004,manuell,64,ibiza,80000,2,benzin,seat,0
11890,bus,2011,manuell,116,c_max,150000,4,diesel,ford,0
2900,coupe,2000,automatik,170,3er,150000,2,benzin,bmw,0
19750,cabrio,2006,manuell,305,mustang,50000,7,benzin,ford,0
9800,cabrio,2006,manuell,150,eos,60000,11,benzin,volkswagen,0
1990,kleinwagen,2003,manuell,80,fiesta,125000,4,benzin,ford,0
10500,bus,2006,automatik,150,vito,150000,6,diesel,mercedes_benz,0
11000,limousine,2012,manuell,131,astra,70000,3,diesel,opel,0
300,bus,1997,manuell,0,andere,150000,7,benzin,opel,
2390,kombi,2000,automatik,197,e_klasse,150000,5,diesel,mercedes_benz,0
16449,kombi,2015,automatik,110,fabia,10000,8,benzin,skoda,0
2999,kombi,2001,manuell,0,3er,150000,7,benzin,bmw,
3000,,2016,automatik,75,fabia,150000,0,benzin,skoda,
14300,limousine,2011,manuell,120,a4,60000,5,benzin,audi,0
5999,kleinwagen,2009,manuell,80,polo,125000,5,benzin,volkswagen,0
3700,kombi,2003,automatik,179,a6,150000,11,diesel,audi,0
8999,bus,2007,manuell,105,touran,90000,2,diesel,volkswagen,0
14000,limousine,2008,,235,,150000,0,,bmw,0
25000,coupe,1968,automatik,305,mustang,90000,11,benzin,ford,0
2790,limousine,1992,manuell,90,80,80000,3,benzin,audi,0
13400,limousine,2008,manuell,170,3er,100000,12,benzin,bmw,0
4900,bus,2006,manuell,102,golf,150000,8,benzin,volkswagen,1
11299,limousine,2006,automatik,250,golf,150000,8,benzin,volkswagen,0
550,andere,1997,manuell,75,golf,150000,6,benzin,volkswagen,0
1400,kleinwagen,2006,manuell,88,getz,150000,7,diesel,hyundai,1
1200,coupe,1990,manuell,45,,150000,0,benzin,volkswagen,
9500,kombi,2011,manuell,131,insignia,150000,12,diesel,opel,0
1800,kombi,1999,manuell,90,golf,150000,4,diesel,volkswagen,0
2800,,2018,manuell,75,twingo,125000,12,,renault,0
3200,kombi,2006,,0,a3,150000,11,diesel,audi,0
1350,kleinwagen,2002,manuell,60,ka,150000,8,benzin,ford,
11000,kombi,2006,automatik,231,5er,150000,11,diesel,bmw,0
1999,,2016,manuell,110,almera,150000,9,diesel,nissan,
6900,cabrio,2006,manuell,163,megane,100000,1,benzin,renault,0
1600,limousine,1996,automatik,0,7er,150000,5,benzin,bmw,0
12999,kombi,2008,automatik,179,a6,150000,8,diesel,audi,0
18400,kombi,2011,automatik,313,5er,150000,11,diesel,bmw,0
999,limousine,1995,manuell,75,andere,150000,10,benzin,volkswagen,0
12899,kombi,2009,automatik,140,a3,150000,9,diesel,audi,0
10500,limousine,2010,manuell,143,3er,150000,5,diesel,bmw,0
2250,kleinwagen,2001,,41,fortwo,150000,10,diesel,smart,0
8500,limousine,2010,manuell,80,golf,50000,3,benzin,volkswagen,0
14900,limousine,2007,manuell,265,1er,150000,10,benzin,bmw,0
500,kleinwagen,1994,manuell,75,golf,150000,3,benzin,volkswagen,0
1200,kleinwagen,2002,manuell,45,lupo,150000,9,benzin,volkswagen,0
1250,limousine,1996,manuell,125,a3,150000,9,benzin,audi,0
370,kleinwagen,1992,manuell,54,polo,125000,10,benzin,volkswagen,0
1000,kombi,1999,manuell,165,a6,150000,0,,audi,
350,limousine,1993,manuell,88,r19,150000,3,benzin,renault,0
8600,coupe,2007,manuell,197,3er,150000,4,diesel,bmw,0
2100,,2017,manuell,0,zafira,150000,12,diesel,opel,
2222,cabrio,1991,manuell,98,golf,150000,3,benzin,volkswagen,0
850,,1985,manuell,54,caddy,150000,0,diesel,volkswagen,
11800,limousine,2005,automatik,218,3er,150000,11,benzin,bmw,0
4000,bus,2008,manuell,115,c_max,125000,6,diesel,ford,1
4650,kombi,2005,automatik,150,c_klasse,150000,8,diesel,mercedes_benz,
1450,kleinwagen,1999,manuell,75,2_reihe,150000,8,benzin,peugeot,0
900,,2017,manuell,60,corsa,150000,0,benzin,opel,0
800,kombi,2002,manuell,115,mondeo,150000,12,diesel,ford,
1600,kombi,2000,manuell,90,cordoba,150000,11,,seat,0
2800,limousine,2004,manuell,75,golf,100000,9,benzin,volkswagen,1
5499,kombi,2004,manuell,122,c_klasse,150000,9,diesel,mercedes_benz,0
5500,limousine,2000,manuell,170,3er,150000,5,benzin,bmw,0
0,kombi,2001,manuell,115,mondeo,150000,0,,ford,
1000,suv,1982,manuell,41,andere,150000,11,benzin,suzuki,
22290,kombi,2013,manuell,150,a4,50000,8,diesel,audi,0
3750,,2005,,75,golf,150000,0,,volkswagen,
1440,bus,2003,manuell,109,andere,150000,11,diesel,lancia,0
1150,kleinwagen,2000,manuell,75,clio,150000,3,benzin,renault,0
15700,limousine,2011,manuell,170,golf,90000,3,diesel,volkswagen,0
899,coupe,1995,manuell,102,3er,150000,8,benzin,bmw,0
130,kombi,1998,,0,e_klasse,150000,0,,mercedes_benz,
9200,kombi,2006,manuell,150,3er,150000,1,benzin,bmw,0
3350,bus,2000,manuell,130,sprinter,150000,12,diesel,mercedes_benz,0
2700,kleinwagen,2006,manuell,75,clio,125000,6,benzin,renault,1
800,bus,2001,automatik,114,andere,150000,4,benzin,mazda,1
10200,coupe,2008,manuell,0,andere,90000,6,benzin,nissan,
9800,limousine,2008,automatik,140,a6,150000,10,diesel,audi,0
14700,limousine,2012,automatik,211,golf,60000,12,benzin,volkswagen,1
1200,limousine,1997,manuell,101,golf,150000,1,benzin,volkswagen,
895,limousine,1995,manuell,75,colt,70000,3,benzin,mitsubishi,0
950,kleinwagen,1995,manuell,54,polo,150000,5,benzin,volkswagen,0
8000,limousine,2006,manuell,177,impreza,150000,0,,subaru,0
6799,limousine,2002,automatik,286,5er,150000,2,lpg,bmw,0
500,kleinwagen,1999,manuell,56,corsa,150000,8,benzin,opel,0
11919,kleinwagen,2012,automatik,90,polo,30000,11,benzin,volkswagen,0
25900,coupe,2009,manuell,265,andere,125000,5,benzin,porsche,0
300,kleinwagen,1993,manuell,90,golf,150000,8,benzin,volkswagen,
10800,kleinwagen,2010,manuell,105,a1,125000,12,diesel,audi,0
650,limousine,2002,manuell,101,vectra,150000,1,benzin,opel,0
800,kombi,2000,manuell,118,3er,150000,9,benzin,bmw,1
1690,kleinwagen,2001,manuell,75,lupo,150000,5,diesel,volkswagen,0
3650,cabrio,2004,manuell,113,megane,150000,9,benzin,renault,
4850,bus,2009,manuell,75,berlingo,80000,1,diesel,citroen,0
450,,2016,manuell,0,,150000,3,benzin,mitsubishi,0
1450,limousine,1999,manuell,0,c_klasse,5000,8,,mercedes_benz,0
4500,kombi,2007,manuell,140,passat,150000,11,diesel,volkswagen,0
3900,kombi,2003,manuell,131,passat,150000,4,benzin,volkswagen,0
26999,bus,2013,automatik,140,transporter,80000,10,diesel,volkswagen,0
750,kombi,2000,manuell,101,passat,150000,3,benzin,volkswagen,0
5900,limousine,1999,automatik,184,7er,150000,10,diesel,bmw,0
56900,limousine,2015,automatik,326,a6,5000,7,diesel,audi,0
1100,limousine,2000,manuell,116,golf,150000,4,benzin,volkswagen,0
48000,coupe,2014,automatik,265,andere,80000,10,diesel,mercedes_benz,0
8400,kleinwagen,2009,manuell,201,clio,70000,6,benzin,renault,0
1,limousine,1990,manuell,90,80,70000,6,benzin,audi,0
800,limousine,1998,manuell,75,golf,150000,5,benzin,volkswagen,1
27500,suv,2009,automatik,224,m_klasse,150000,12,diesel,mercedes_benz,0
14950,bus,2009,manuell,140,touran,70000,3,benzin,volkswagen,0
14900,cabrio,2004,manuell,170,z_reihe,70000,6,benzin,bmw,0
2950,limousine,1998,automatik,235,5er,150000,5,benzin,bmw,0
1500,coupe,1994,manuell,116,,150000,8,,audi,0
12000,suv,2011,manuell,101,tiguan,150000,7,diesel,volkswagen,0
2500,kombi,2001,automatik,150,c_klasse,150000,11,diesel,mercedes_benz,0
2400,cabrio,2001,,115,golf,150000,8,benzin,volkswagen,0
4600,,2017,manuell,109,i_reihe,125000,0,benzin,hyundai,0
6000,coupe,1995,manuell,286,andere,150000,4,benzin,mitsubishi,0
8950,kleinwagen,2012,manuell,95,fiesta,60000,1,diesel,ford,0
590,limousine,1996,manuell,0,corsa,150000,0,,opel,
150,,2016,automatik,75,fiesta,50000,1,benzin,ford,1
18700,coupe,2009,automatik,213,mustang,80000,8,benzin,ford,0
9500,limousine,2012,manuell,69,polo,50000,11,benzin,volkswagen,
11550,coupe,2009,automatik,140,passat,125000,12,diesel,volkswagen,0
1250,,2017,,0,espace,150000,8,benzin,renault,
2400,limousine,1989,manuell,102,3er,150000,10,benzin,bmw,0
16150,suv,2011,manuell,150,tiguan,30000,4,benzin,volkswagen,0
3400,bus,2000,manuell,0,sharan,150000,10,diesel,volkswagen,0
3000,coupe,2000,manuell,179,tt,150000,2,benzin,audi,0
5500,limousine,2004,manuell,90,golf,150000,10,diesel,volkswagen,0
2000,limousine,2004,manuell,122,6_reihe,5000,7,diesel,mazda,0
300,kleinwagen,1998,manuell,58,twingo,125000,11,,renault,
890,limousine,2000,manuell,107,megane,150000,6,benzin,renault,1
2390,,2016,,83,1zz,150000,12,benzin,honda,0
1450,,2017,,0,a_klasse,150000,8,benzin,mercedes_benz,
1699,limousine,1999,,75,astra,150000,12,benzin,opel,
2899,bus,1996,manuell,69,andere,150000,9,diesel,mitsubishi,0
4800,limousine,2004,manuell,75,golf,80000,12,benzin,volkswagen,0
6799,limousine,2008,manuell,174,3_reihe,90000,9,benzin,peugeot,0
3400,bus,2003,manuell,100,touran,150000,0,diesel,volkswagen,
2650,limousine,2004,manuell,125,astra,150000,6,benzin,opel,0
1000,kleinwagen,1999,manuell,107,clio,150000,6,benzin,renault,0
800,coupe,1997,manuell,125,a3,150000,0,benzin,audi,1
5299,cabrio,2002,manuell,220,a4,150000,4,benzin,audi,0
7150,limousine,2002,manuell,150,e_klasse,150000,3,diesel,mercedes_benz,0
200,,2009,,0,,10000,0,,sonstige_autos,
2300,coupe,2006,manuell,88,c4,150000,6,benzin,citroen,0
1600,kombi,1999,manuell,0,,150000,6,benzin,bmw,0
350,,2017,,0,corsa,150000,0,benzin,opel,
5500,bus,2006,manuell,140,golf,150000,8,diesel,volkswagen,0
4400,kleinwagen,1997,manuell,54,panda,125000,7,benzin,fiat,0
7950,limousine,2008,manuell,140,a3,150000,10,diesel,audi,0
16500,coupe,2007,manuell,265,z_reihe,150000,3,benzin,bmw,0
8100,cabrio,2004,automatik,170,z_reihe,150000,9,benzin,bmw,0
3999,,2017,manuell,85,transporter,150000,10,diesel,volkswagen,
9750,kleinwagen,2013,automatik,75,up,60000,7,benzin,volkswagen,0
7700,limousine,2009,manuell,185,3_reihe,150000,5,diesel,mazda,0
2500,cabrio,1999,manuell,88,3_reihe,150000,6,benzin,peugeot,
1195,kleinwagen,1999,automatik,54,fortwo,125000,11,benzin,smart,0
9790,kombi,2014,manuell,73,clio,30000,4,benzin,renault,0
1849,kleinwagen,1999,manuell,54,clio,90000,7,benzin,renault,0
3300,kleinwagen,2006,automatik,41,fortwo,125000,8,diesel,smart,0
650,kombi,1991,manuell,77,transporter,150000,7,diesel,volkswagen,1
2600,coupe,1998,manuell,170,andere,150000,10,benzin,toyota,0
11700,kombi,2008,manuell,170,andere,150000,7,diesel,mercedes_benz,0
600,bus,1998,manuell,90,scenic,150000,6,benzin,renault,1
4950,kombi,2009,manuell,109,i_reihe,150000,9,benzin,hyundai,0
1600,kleinwagen,2003,manuell,50,lupo,150000,3,benzin,volkswagen,0
8499,cabrio,2006,manuell,150,3er,150000,3,benzin,bmw,0
1650,,2017,manuell,0,seicento,60000,5,benzin,fiat,0
1700,limousine,1999,manuell,101,golf,150000,6,benzin,volkswagen,0
5750,limousine,2010,manuell,90,ceed,100000,2,benzin,kia,0
600,bus,2001,manuell,75,kangoo,150000,12,benzin,renault,1
0,,2005,,0,polo,150000,0,benzin,volkswagen,
8700,limousine,2004,automatik,170,5er,150000,1,benzin,bmw,0
1200,kombi,1999,automatik,125,c_klasse,150000,2,diesel,mercedes_benz,0
18880,bus,2014,manuell,116,5_reihe,20000,11,diesel,mazda,0
11200,kombi,2008,automatik,177,5er,150000,7,diesel,bmw,0
3550,limousine,1993,manuell,0,andere,125000,11,benzin,chevrolet,
3900,kleinwagen,2003,manuell,75,ibiza,125000,2,benzin,seat,0
13849,limousine,2010,manuell,143,1er,80000,12,diesel,bmw,0
13200,suv,2013,manuell,105,yeti,40000,3,benzin,skoda,0
2500,kombi,2001,manuell,101,fabia,125000,8,benzin,skoda,0
2550,kleinwagen,2006,manuell,54,fabia,150000,4,benzin,skoda,0
3900,kombi,2006,manuell,102,octavia,150000,11,lpg,skoda,0
2450,limousine,2001,manuell,231,3er,150000,11,benzin,bmw,0
500,kleinwagen,1996,manuell,45,corsa,70000,4,benzin,opel,
750,kombi,1998,manuell,90,passat,150000,12,diesel,volkswagen,0
1799,bus,1999,automatik,116,zafira,150000,7,benzin,opel,0
950,kleinwagen,1997,manuell,0,golf,150000,6,,volkswagen,0
8150,kleinwagen,2012,manuell,75,mii,60000,11,benzin,seat,0
3900,coupe,2004,manuell,192,rx_reihe,125000,7,benzin,mazda,0
5500,kleinwagen,2012,manuell,68,,40000,12,,peugeot,0
9999,kleinwagen,2014,manuell,90,corsa,20000,9,benzin,opel,0
1050,,2018,,0,golf,150000,0,,volkswagen,
500,kombi,2001,manuell,131,mondeo,150000,12,diesel,ford,0
699,limousine,1992,manuell,66,golf,150000,10,lpg,volkswagen,0
999,cabrio,1994,manuell,115,astra,150000,3,benzin,opel,0
6250,limousine,2003,,299,a6,150000,3,benzin,audi,
10000,bus,1976,,0,transporter,5000,0,benzin,volkswagen,
300,kleinwagen,2001,manuell,0,,150000,5,benzin,peugeot,1
16500,coupe,1983,manuell,218,6er,150000,10,benzin,bmw,0
6500,limousine,2007,manuell,125,focus,125000,9,andere,ford,0
49500,cabrio,2013,,0,,10000,6,benzin,sonstige_autos,0
1200,,2016,manuell,75,modus,150000,0,benzin,renault,1
1480,cabrio,2000,manuell,74,golf,150000,6,benzin,volkswagen,
1490,kleinwagen,2000,manuell,60,punto,100000,6,benzin,fiat,0
3200,kombi,2008,manuell,110,astra,150000,5,diesel,opel,0
3250,kombi,2003,manuell,163,a6,150000,4,diesel,audi,0
3400,kleinwagen,2006,manuell,54,fox,70000,6,benzin,volkswagen,0
1100,kleinwagen,2002,manuell,58,twingo,150000,5,benzin,renault,0
1750,limousine,2002,manuell,125,vectra,150000,4,diesel,opel,0
3300,kombi,2006,automatik,140,passat,150000,11,diesel,volkswagen,0
1350,kleinwagen,2005,manuell,52,matiz,150000,6,benzin,chevrolet,1
8250,kleinwagen,2012,manuell,69,panda,80000,2,benzin,fiat,0
2500,kleinwagen,2000,manuell,115,beetle,150000,1,benzin,volkswagen,0
3999,kombi,2004,automatik,163,a6,150000,3,diesel,audi,0
21500,suv,2007,automatik,510,m_klasse,150000,4,lpg,mercedes_benz,0
7000,limousine,2007,manuell,143,1er,150000,9,benzin,bmw,0
2950,bus,2005,manuell,131,andere,150000,6,diesel,renault,0
4850,kleinwagen,2010,manuell,77,i_reihe,100000,12,benzin,hyundai,
1100,kleinwagen,2000,manuell,60,punto,60000,6,benzin,fiat,0
3600,limousine,2003,manuell,147,vectra,125000,4,benzin,opel,0
7750,limousine,2009,manuell,80,golf,125000,9,benzin,volkswagen,0
2950,kleinwagen,2004,manuell,54,polo,90000,12,benzin,volkswagen,
400,,2017,manuell,65,corsa,150000,3,benzin,opel,1
6880,kombi,2007,automatik,150,5er,150000,9,diesel,bmw,0
5600,bus,2008,automatik,140,golf,150000,7,diesel,volkswagen,0
10550,limousine,2012,automatik,105,golf,60000,10,benzin,volkswagen,0
17500,limousine,2013,manuell,122,a_klasse,40000,11,benzin,mercedes_benz,0
999,kleinwagen,1999,manuell,60,ibiza,150000,4,benzin,seat,0
